,Make,Model,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Door_Pockets,Engine_Malfunction_Light,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Adjustable_Steering_Column,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto&Apple_Carplay,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
0,Tata,Nano Genx,"Rs. 2,92,667",624 cc,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.6 km/litre,660 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,NA,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230 mm,Yes,Yes,CD Player with USB & Aux-in,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Tata,Nano Genx,"Rs. 2,36,447",624 cc,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.6 km/litre,725 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,NA,NA,NA,NA,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230 mm,NA,Yes,Not on offer,NA,2 years /75000 Kms (years/distance whichever comes first),NA,Internal,110 litres,NA,NA,Yes,Digital,Front,Front,Yes,NA,Internal,Digital,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Tata,Nano Genx,"Rs. 2,96,661",624 cc,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15 litres,CNG,1652 mm,3164 mm,1750 mm,Hatchback,4,NA,710 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,NA,NA,NA,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230 mm,NA,Yes,Not on offer,NA,2 years /75000 Kms (years/distance whichever comes first),NA,Internal,110 litres,NA,NA,Yes,Digital,Front,Front,Yes,NA,Internal,Digital,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Tata,Nano Genx,"Rs. 3,34,768",624 cc,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,21.9 km/litre,725 kg,5,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,NA,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Automatic,2230 mm,Yes,Yes,CD Player with USB & Aux-in,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,94 litres,Yes,Yes,Yes,Digital,Front,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Tata,Nano Genx,"Rs. 2,72,223",624 cc,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,23.6 km/litre,725 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,NA,NA,NA,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230 mm,NA,Yes,Not on offer,NA,2 years /75000 Kms (years/distance whichever comes first),NA,Internal,110 litres,NA,NA,Yes,Digital,Front,Front,Yes,NA,Internal,Digital,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Tata,Nano Genx,"Rs. 3,14,815",624 cc,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,21.9 km/litre,710 kg,5,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,NA,NA,NA,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Automatic,2230 mm,NA,Yes,Not on offer,NA,2 years /75000 Kms (years/distance whichever comes first),NA,Internal,94 litres,NA,NA,Yes,Digital,Not on offer,Front,Yes,NA,Internal,Digital,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Datsun,Redi-Go,"Rs. 2,79,650",799 cc,3,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,25.17 km/litre,NA,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,NA,NA,80/155R13,80/155R13,NA,NA,NA,NA,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348 mm,NA,Yes,Not on offer,NA,2 years / Unlimited Kms,NA,Internal,222 litres,NA,NA,Yes,NA,Not on offer,NA,Yes,NA,Internal,Digital,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Datsun,Redi-Go,"Rs. 3,51,832",799 cc,3,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,25.17 km/litre,NA,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,NA,NA,80/155R13,80/155R13,Electric Power,Only Front Windows,NA,NA,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348 mm,NA,Yes,CD Player with USB & Aux-in,Yes,2 years / Unlimited Kms,NA,Internal,222 litres,Yes,Yes,Yes,NA,Front,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Datsun,Redi-Go,"Rs. 3,33,419",799 cc,3,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,25.17 km/litre,NA,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,NA,NA,80/155R13,80/155R13,Electric Power,NA,NA,NA,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348 mm,NA,Yes,Not on offer,NA,2 years / Unlimited Kms,NA,Internal,222 litres,NA,NA,Yes,NA,Front,Front,Yes,NA,Internal,Digital,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Datsun,Redi-Go,"Rs. 3,62,000",799 cc,3,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,25.17 km/litre,NA,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,NA,NA,80/155R13,80/155R13,Electric Power,NA,NA,NA,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348 mm,NA,Yes,CD Player with USB & Aux-in,Yes,2 years / Unlimited Kms,NA,"With Remote, Internal",222 litres,Yes,NA,Yes,NA,Not on offer,NA,Yes,Yes,Internal,Digital,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rear sensors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
